name,symbol,current_price,market_cap,total_volume,circulating_supply,total_supply,ath,atl,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency,timestamp
Cardano,ADA,1.052,37648669386,2478377976,35799129412.7692,45000000000.0,3.09,0.01925275,0.02054525542296467,-2.5479437408063688,-1.2002273766711125,2024-12-01 00:43:51
Cardano,ADA,1.052,37648669386,2478377976,35799129412.7692,45000000000.0,3.09,0.01925275,0.02054525542296467,-2.5479437408063688,-1.2002273766711125,2024-12-01 00:44:07
Cardano,ADA,1.052,37648669386,2478377976,35799129412.7692,45000000000.0,3.09,0.01925275,0.02054525542296467,-2.5479437408063688,-1.2002273766711125,2024-12-01 00:44:22
Cardano,ADA,1.052,37648669386,2478377976,35799129412.7692,45000000000.0,3.09,0.01925275,0.02054525542296467,-2.5479437408063688,-1.2002273766711125,2024-12-01 00:44:37
Cardano,ADA,1.052,37648669386,2478377976,35799129412.7692,45000000000.0,3.09,0.01925275,0.02054525542296467,-2.5479437408063688,-1.2002273766711125,2024-12-01 00:44:52
Cardano,ADA,1.052,37648669386,2478377976,35799129412.7692,45000000000.0,3.09,0.01925275,0.02054525542296467,-2.5479437408063688,-1.2002273766711125,2024-12-01 00:45:07
